ExperimentID,Fold,Topics,LogPerplexityTrain,Perplexity
F2_K045,2,45,-6.479261630453513,89.21792133730601
F2_K046,2,46,-6.489704956453596,89.8660917790076
F2_K047,2,47,-6.510510283170292,91.17145428151878
F2_K048,2,48,-6.488293782536483,89.77823212854165
F2_K049,2,49,-6.564673947057227,94.65940489527044
F2_K050,2,50,-6.53644614196706,92.8252983514707
F2_K051,2,51,-6.540281900576131,93.07242555251302
F2_K052,2,52,-6.563326681930363,94.57104818625562
F2_K053,2,53,-6.563897343166705,94.60846337432045
F2_K054,2,54,-6.576037241656238,95.40792757872184
F2_K055,2,55,-6.578163750901427,95.54866102066816
F2_K056,2,56,-6.622662654786553,98.54171361063241
F2_K057,2,57,-6.622219396698055,98.51144200023455
F2_K058,2,58,-6.627966871631219,98.90467919699596
F2_K059,2,59,-6.581178043442073,95.74850415866278
F2_K060,2,60,-6.617109875830923,98.16316605313737
F2_K061,2,61,-6.655210391914221,100.79011841035924
F2_K062,2,62,-6.647056801205927,100.22209574699824
F2_K063,2,63,-6.62569170341961,98.74882682768876
F2_K064,2,64,-6.642478831267145,99.90457434265126
F2_K065,2,65,-6.620070654903679,98.3648288279223
F2_K066,2,66,-6.654246993574395,100.72283557074226
F2_K067,2,67,-6.654416749795216,100.73468792582631
F2_K068,2,68,-6.682404701583336,102.70799666974855
F2_K069,2,69,-6.673746306473995,102.09343629736904
F2_K070,2,70,-6.676509850086314,102.28918803534117
F2_K071,2,71,-6.708527780841936,104.58468405889472
F2_K072,2,72,-6.671153979714991,101.91015299557009
F2_K073,2,73,-6.6624392918547,101.2964139975082
F2_K074,2,74,-6.64987750060347,100.41823764504228
F2_K075,2,75,-6.714095180632386,104.98905897250638
F2_K076,2,76,-6.7127091712216425,104.88824352442337
F2_K077,2,77,-6.699830962648371,103.95612571322884
F2_K078,2,78,-6.751887361297588,107.77564312859826
F2_K079,2,79,-6.688689879250883,103.15642561222755
F2_K080,2,80,-6.730282878179605,106.17371796391063
F2_K081,2,81,-6.699790966426677,103.95324374961311
F2_K082,2,82,-6.705059962679508,104.33359487068415
F2_K083,2,83,-6.780011131434283,109.8972237972204
F2_K084,2,84,-6.720878645574971,105.48387356894072
F2_K085,2,85,-6.712514662731269,104.87410312878653
F2_K086,2,86,-6.746023353570707,107.33846513166847
F2_K087,2,87,-6.702601084149329,104.15592382356157
F2_K088,2,88,-6.737540145802956,106.70915500359459
F2_K089,2,89,-6.774165120292208,109.45280521856483
F2_K090,2,90,-6.812049018182718,112.36500783426094
F2_K091,2,91,-6.747393939297662,107.44048701979652
