ExperimentID,Fold,Topics,MeanLogPerplexity,PerplexityTest,AbsLogPerplexity,NAP
F2_K053,2,53,-11.378811343491932,2662.9531716926153,11.378811343491932,0.8327389816009416
F2_K054,2,54,-11.485366171284726,2867.0794555369425,11.485366171284726,0.8405370156927525
F2_K055,2,55,-11.522113151242289,2941.045016238295,11.522113151242289,0.8432262810072947
F2_K056,2,56,-11.71074329899829,3351.8533141922276,11.71074329899829,0.8570308579881238
F2_K057,2,57,-11.794104176217859,3551.2326834628493,11.794104176217859,0.8631314822014683
F2_K058,2,58,-11.853111826175708,3699.492929558725,11.853111826175708,0.8674498568408956
F2_K059,2,59,-11.698571445382953,3323.693069266924,11.698571445382953,0.8561400815548167
F2_K060,2,60,-11.840329435852727,3666.8599133416637,11.840329435852727,0.8665143993156179
F2_K061,2,61,-12.158652895945682,4572.1369303280835,12.158652895945682,0.8898103610795949
F2_K062,2,62,-12.127752060011813,4475.2484419731145,12.127752060011813,0.8875489358859252
F2_K063,2,63,-11.966994049332358,4003.3555865898616,11.966994049332358,0.8757841339170475
F2_K064,2,64,-12.141693096697045,4518.703237020556,12.141693096697045,0.8885691869772978
F2_K065,2,65,-12.073548928402257,4310.229366962861,12.073548928402257,0.8835821717614861
F2_K066,2,66,-12.18804635448319,4666.24503938295,12.18804635448319,0.8919614714187476
F2_K067,2,67,-12.274562411102952,4954.632754455667,12.274562411102952,0.8982930020775168
F2_K068,2,68,-12.24241624043889,4845.454365910771,12.24241624043889,0.8959404391767819
F2_K069,2,69,-12.338181816790092,5178.009212874355,12.338181816790092,0.9029488802270625
F2_K070,2,70,-12.3355650520781,5168.625836175144,12.3355650520781,0.9027573767461124
F2_K071,2,71,-12.500874630515085,5796.131577847524,12.500874630515085,0.9148552774706226
F2_K072,2,72,-12.427133004060773,5507.313439525507,12.427133004060773,0.9094586217865223
F2_K073,2,73,-12.47635625925931,5698.459560574276,12.47635625925931,0.9130609421139928
F2_K074,2,74,-12.367217859640077,5283.278916034725,12.367217859640077,0.9050738337061838
F2_K075,2,75,-12.84462810646404,7355.604049037363,12.84462810646404,0.9400122917528956
F2_K076,2,76,-12.654679857429706,6448.195892439672,12.654679857429706,0.9261112517687673
F2_K077,2,77,-12.805698629828731,7159.775468866591,12.805698629828731,0.9371633041258983
F2_K078,2,78,-12.956221575771222,7947.148435576011,12.956221575771222,0.9481790702659543
F2_K079,2,79,-12.697232057032974,6641.217613907832,12.697232057032974,0.9292253622230875
F2_K080,2,80,-12.854291598135205,7405.038895908106,12.854291598135205,0.9407194979776967
F2_K081,2,81,-12.612911620436673,6264.187238060514,12.612911620436673,0.9230545142865401
F2_K082,2,82,-12.811723097602716,7189.736077940265,12.811723097602716,0.9376041945675581
F2_K083,2,83,-13.13518432458622,8996.725715386203,13.13518432458622,0.9612761550750757
F2_K084,2,84,-13.04278229098571,8438.566875186692,13.04278229098571,0.9545138691881272
F2_K085,2,85,-13.03792097813775,8410.18008855951,13.03792097813775,0.9541581022641445
F2_K086,2,86,-13.147770632111856,9075.557995018522,13.147770632111856,0.9621972626138705
F2_K087,2,87,-13.04744593418386,8465.88944921323,13.04744593418386,0.9548551699945247
F2_K088,2,88,-13.007067646763542,8232.230410259168,13.007067646763542,0.9519001536109885
F2_K089,2,89,-13.210588393770337,9479.45494819323,13.210588393770337,0.9667944738067472
F2_K090,2,90,-13.465099397344453,11308.33884268418,13.465099397344453,0.9854204293239518
F2_K091,2,91,-13.129441482313512,8960.984218870099,13.129441482313512,0.9608558749173942
F2_K092,2,92,-13.298550123404087,10075.404385949872,13.298550123404087,0.9732318035896126
F2_K093,2,93,-13.306692038540636,10132.426140337055,13.306692038540636,0.9738276558200802
F2_K094,2,94,-13.363869049788661,10542.05899128024,13.363869049788661,0.9780120582748146
F2_K095,2,95,-13.565828285719219,12126.102362969976,13.565828285719219,0.9927921019346391
F2_K096,2,96,-13.644734078160884,12807.791245273109,13.644734078160884,0.9985666883353416
F2_K097,2,97,-13.535002703586834,11869.756373821401,13.535002703586834,0.9905361840626146
F2_K098,2,98,-13.664319306412382,12982.848270517186,13.664319306412382,1.0
F2_K099,2,99,-13.530305602333762,11831.1738710546,13.530305602333762,0.9901924346852953
F2_K100,2,100,-13.422361757310384,10978.25973624563,13.422361757310384,0.9822927477266684
F3_K002,3,2,-6.555923034058939,94.08696997511483,6.555923034058939,0.4915561567011351
F3_K003,3,3,-6.666995355773895,101.6168160407573,6.666995355773895,0.49988424159390005
F3_K004,3,4,-6.778853636942502,109.80908707262095,6.778853636942502,0.5082712568930093
F3_K005,3,5,-6.919433845808976,121.04786686473822,6.919433845808976,0.518811811872018
F3_K006,3,6,-7.078930977762121,135.19809166619913,7.078930977762121,0.5307707376831406
F3_K007,3,7,-7.248392850026475,152.0490350121636,7.248392850026475,0.5434768091554397
F3_K008,3,8,-7.3608347117149755,164.37359033606887,7.3608347117149755,0.5519075807030581
F3_K009,3,9,-7.470064686988518,177.30196153506452,7.470064686988518,0.5600975284134082
F3_K010,3,10,-7.5472379253857,187.04452479032537,7.5472379253857,0.5658838959881375
F3_K011,3,11,-7.6642686376343105,202.84987982718812,7.6642686376343105,0.5746587346843915
F3_K012,3,12,-7.8140026260666975,225.03453721232472,7.8140026260666975,0.5858856303478976
F3_K013,3,13,-7.884827956436562,236.3576838551264,7.884827956436562,0.5911960385105366
F3_K014,3,14,-8.040978422688536,263.3756980778274,8.040978422688536,0.6029040348764408
F3_K015,3,15,-8.063464321390558,267.5128385911383,8.063464321390558,0.6045900037153846
F3_K016,3,16,-8.141033308930917,282.28982317545706,8.141033308930917,0.6104060441411872
F3_K017,3,17,-8.27893799870643,310.6051625625805,8.27893799870643,0.6207459915360767
F3_K018,3,18,-8.340818531388747,324.2175848555769,8.340818531388747,0.6253857282538378
F3_K019,3,19,-8.487184566919273,358.83693076880445,8.487184566919273,0.6363600983803923
F3_K020,3,20,-8.629660410080591,396.0833949683148,8.629660410080591,0.6470427860085554
F3_K021,3,21,-8.62556335794078,394.96016918005387,8.62556335794078,0.6467355933839338
F3_K022,3,22,-8.709986717179484,418.76199844322514,8.709986717179484,0.6530655673307884
F3_K023,3,23,-8.882512014261996,471.95713178689107,8.882512014261996,0.6660013311472675
F3_K024,3,24,-8.898024440026305,477.05918137350517,8.898024440026305,0.6671644363805352
F3_K025,3,25,-9.01702068481866,518.0762668551176,9.01702068481866,0.676086648622521
F3_K026,3,26,-9.065315991935163,535.7128129229347,9.065315991935163,0.6797077795341497
F3_K027,3,27,-9.036595538111015,525.1535621220961,9.036595538111015,0.677554350363739
F3_K028,3,28,-9.31782833205806,638.1838687182645,9.31782833205806,0.6986408870135359
F3_K029,3,29,-9.356012942713729,655.3005546978758,9.356012942713729,0.7015039286266722
F3_K030,3,30,-9.52822300676394,738.3817098341917,9.52822300676394,0.7144160566046861
F3_K031,3,31,-9.528058903159375,738.2977252044027,9.528058903159375,0.7144037522904436
F3_K032,3,32,-9.665581076344749,812.1379960053536,9.665581076344749,0.7247150189970537
F3_K033,3,33,-9.722710070150807,844.9429180964519,9.722710070150807,0.7289984903687612
F3_K034,3,34,-9.86672117879646,933.6391051045097,9.86672117879646,0.7397962905748291
F3_K035,3,35,-9.889866025623816,948.7380677097573,9.889866025623816,0.7415316666454123
