ExperimentID,Fold,Topics,UMass,CV,UCI,NPMI
F1_K030,1,30,-3.259820226634539,0.45879374515560806,-3.8899759251061576,-0.08101572464562727
F1_K031,1,31,-3.6774814469334514,0.4884892116702484,-4.320239260342508,-0.09094556009815397
F1_K032,1,32,-3.6414389719872,0.43199329927399066,-4.530820418695672,-0.10541234656393964
F1_K033,1,33,-3.5403413907834493,0.484458364257217,-4.0845917979046105,-0.0823225013155801
F1_K034,1,34,-4.777918970815903,0.42277872781030323,-5.340203659954267,-0.13483102784963785
F1_K035,1,35,-4.064017634035077,0.45261109015288714,-4.792626852837765,-0.11194117055844176
F1_K036,1,36,-4.080209860092122,0.4505813054383474,-4.510899408849256,-0.09899108708887419
F1_K037,1,37,-3.3098894287080323,0.44960471126674817,-4.1634699640887565,-0.08917353955098192
F1_K038,1,38,-4.0912640031053895,0.4223823075780066,-4.995636854942387,-0.12177004272868168
F1_K039,1,39,-3.7852479864299537,0.40860835355942754,-4.704479162961292,-0.10990335532301096
F1_K040,1,40,-3.6474396075534115,0.4622018543895674,-4.470644930649521,-0.09980885257242383
F1_K041,1,41,-3.6034372080000585,0.4639234856726772,-4.563636318357781,-0.10021753805905355
F1_K042,1,42,-4.107083312668409,0.4747167436582887,-4.658077771326721,-0.1046843639028201
F1_K043,1,43,-4.412895816852329,0.44258411096545647,-4.811752236823027,-0.1151487217685165
F1_K044,1,44,-4.220487941963019,0.43445377514252465,-4.886573777975723,-0.11792286647717888
F1_K045,1,45,-4.007838804868173,0.44694338936749256,-4.61478446309653,-0.10280920155474757
F1_K046,1,46,-4.2618532171116446,0.4522623780147011,-5.039122576891422,-0.12425553106844889
F1_K047,1,47,-3.97806113830337,0.4175303558292187,-4.939813965531377,-0.12170712555039302
F1_K048,1,48,-4.241231933566736,0.4496550336330336,-4.929725905407044,-0.1177810156335627
F1_K049,1,49,-3.7120746277300554,0.4747143396301328,-4.822582651210764,-0.1146618871950709
F1_K050,1,50,-4.1362707211996295,0.4208098842456012,-4.964635791406912,-0.11991338695962597
F1_K051,1,51,-4.277673118057495,0.4460191907123733,-4.940665846351267,-0.12137918513940549
F1_K052,1,52,-3.3696894518632377,0.4312466703256812,-4.575518846984964,-0.10438706678487152
F1_K053,1,53,-3.942864311404024,0.43799693693935937,-5.0215526067332865,-0.1204784909746074
F1_K054,1,54,-4.169051105076053,0.4212975600337657,-5.20728748104385,-0.13309849430604748
F1_K055,1,55,-4.291984739555607,0.42097867245534765,-5.33331036387202,-0.13809095709428537
F1_K056,1,56,-4.534794235699754,0.42041315030917775,-5.113570327909323,-0.12703441574580815
F1_K057,1,57,-4.172975652593868,0.4162545797442397,-5.171390828225633,-0.13049905576205265
F1_K058,1,58,-4.661109609082217,0.41671500765536157,-5.551639279543793,-0.14484409521612854
F1_K059,1,59,-4.052882060461485,0.4604381569154737,-5.027843192336714,-0.1203281292397263
F1_K060,1,60,-4.120228758712732,0.435484320567865,-4.964028825162093,-0.12151364029338402
F1_K061,1,61,-3.9530893832675043,0.43322236420692184,-5.087588669476241,-0.12467434668602363
F1_K062,1,62,-3.823084954729169,0.45830940058571695,-4.713473144505569,-0.11046086774202409
F1_K063,1,63,-4.5271204741944215,0.42788676967118544,-5.296609373984892,-0.13356332340366442
F1_K064,1,64,-3.8561779897853383,0.4447762004877218,-4.739136452894941,-0.11012876304561729
